RUA ESCRIVÃO ALCINO DE FREITAS,Inundação,327.01,1
RUA ETTORE MAZZINI,Inundação,317.77,1
RUA PROFESSORA PETRINA,Inundação,317.65,1
RODOVIA BR-356,Inundação,314.42,1
RUA JOÃO PEDRO JOSÉ,Inundação,310.26,1
RUA WANTUIL FERREIRA MUNIZ,Inundação,309.6,1
RUA   CAVALHIER,Inundação,305.25,1
PRAÇA DORNELAS,Inundação,288.13,1
RUA MANOEL ALVES ARAUJO SOBRINHO,Inundação,288.06,1
RUA PROFESSORA MARIA BANDEIRA LOBATO,Inundação,285.74,1
RUA DUQUE DE CAXIAS,Inundação,285.09,1
RUA JUIZ JESUS VARELA,Inundação,282.31,1
BECO SEM DENOMINACAO,Inundação,282.08,1
RUA ARMANDO LUCIANO DUVANEL,Inundação,280.62,1
RUA SÃO JOÃO NEPOMUCENO,Inundação,276.56,1
RUA NARCISO DIAS RABELO,Inundação,276.23,1
RUA QUINZE DE NOVEMBRO,Inundação,272.96,1
RUA DOUTOR OPHIR COSTA,Inundação,268.05,1
AVENIDA RIO-BAHIA,Inundação,267.17,1
RUA LINCOLN MARINHO,Inundação,266.77,1
RUA  DOUTOR ANTÔNIO ROGÉRIO DE CASTRO,Inundação,264.37,1
RUA PIRAPANEMA,Inundação,263.84,1
RUA SEBASTIÃO ABRANTES,Inundação,256.45,1
RUA BOA ESPERANÇA,Inundação,248.77,1
AVENIDA PREFEITO DANTE BRUNO,Inundação,245.72,1
RUA JÚLIO DA FONSECA,Inundação,244.24,1
RUA JOAQUIM FLORIANO,Inundação,241.92,1
RUA DAS ORQUIDEAS,Inundação,240.25,1
RUA RUI BARBOSA,Inundação,239.75,1
RUA VIRGINIA NAPOLEÃO,Inundação,238.09,1
RUA ANTÔNIO LAVIOLA,Inundação,237.65,1
RUA DOUTOR LUIZ GONZAGA,Inundação,225.71,1
RUA ANTENOR MAZORQUE SOBRINHO,Inundação,225.63,1
RUA PADRE RAUL,Inundação,225.45,1
RUA GIL MOREIRA,Inundação,225.16,1
RUA GERTRUDES VEGGI DUVANEL,Inundação,221.67,1
RUA PEDRO ANTÔNIO DA SILVEIRA,Inundação,213.55,1
RUA DELFIM MACEDO,Inundação,201.59,1
RUA ADELAIDE GERALDO PINTO,Inundação,196.47,1
RUA CORNÉLIO HENRIQUES DE ALMEIDA,Inundação,193.96,1
RUA FRANCISCO DORNELAS,Inundação,189.02,1
RUA ISAURA NAPOLEÃO MAGALHÃES,Inundação,185.49,1
TRAVESSA MANOEL PENA,Inundação,183.3,1
RUA ANGELINA DUVANEL TRIGO,Inundação,181.57,1
RUA DA BOMBA,Inundação,178.41,1
AVENIDA DOUTOR NILO PACHECO DE MEDEIROS,Inundação,169.25,1
RUA   MIGUEL   GUSMAN,Inundação,168.66,1
RUA DOUTOR MÁRIO RODRIGUES DA COSTA,Inundação,167.24,1
RUA ETEVALDO DE OLIVEIRA,Inundação,165.44,1
RUA EDUARDO PINTO,Inundação,163.53,1
RUA  FRITZ  DUVANEL,Inundação,159.2,1
RUA AYSLAN WILSON DE PAIVA ALMEIDA,Inundação,158.33,1
RUA VICTOR ATADEU,Inundação,150.67,1
RUA HUMBERTO SCALA,Inundação,148.28,1
RUA DOUTOR WILSON ALVIM DO AMARAL,Inundação,147.21,1
RUA ELIAS PAULO,Inundação,145.79,1
RUA GASPAR ZEM,Inundação,144.6,1
AVENIDA REGINA ANTUNES NAPOLEÃO,Inundação,141.74,1
RUA ZÉLIA DE ALMEIDA,Inundação,141.56,1
RUA DOUTOR  ANTÔNIO SILVEIRA BRUM JUNIOR,Inundação,139.75,1
RUA FELISMINO FIALHO,Inundação,139.74,1
RUA RODRIGO DE ALMEIDA,Inundação,138.47,1
ESTRADA PARA A TORRE DE RADIO,Inundação,138.37,1
RUA DOMICIANO MARTINS DE ANDRADE,Inundação,133.82,1
RUA FRANCISCO ELIAS,Inundação,133.01,1
RUA ALFREDO BICALHO,Inundação,132.82,1
RUA DOUTOR JOSE EUTRÓPIO,Inundação,130.05,1
RUA VIRGÍLIO HASTENREITER,Inundação,129.28,1
RUA CAPITÃO JOSÉ JUSTINO,Inundação,128.2,1
TRAVESSA CAVALHIER,Inundação,123.96,1
RUA  ANTÔNIO  FERREIRA  MEDEIROS,Inundação,123.53,1
RUA SÃO JOSÉ,Inundação,123.1,1
RUA NELSON DE ALMEIDA,Inundação,122.85,1
RUA PROJETADA,Inundação,121.82,1
VILA DEL PENHO,Inundação,118.06,1
RUA SEBASTIÃO PROTÁSSIO,Inundação,116.38,1
AVENIDA ARMANDO NUNES DE ABREU,Inundação,114.13,1
